,equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_buts,resultat
253,Manchester Red,Sunderland,1.53,4.42,5.6,1-1,1.0,1.0,2.0,N
254,Manchester Blue,Spurs,1.33,5.98,7.02,2-0,2.0,0.0,2.0,D
255,Leeds,Brighton,6.04,5.03,1.44,1-1,1.0,1.0,2.0,N
256,Brentford,Newcastle,2.36,4.12,2.54,4-0,4.0,0.0,4.0,D
257,Wolverhampton,N. Forest,1.98,3.72,3.51,2-0,2.0,0.0,2.0,D
258,Liverpool,Burnley,1.15,8.19,14.71,4-0,4.0,0.0,4.0,D
259,West Ham,A. Villa,2.25,3.62,2.95,0-1,0.0,1.0,1.0,E
260,Brighton,A. Villa,1.82,3.9,3.95,3-1,3.0,1.0,4.0,D
261,Bournemouth,Newcastle,2.96,3.54,2.27,1-1,1.0,1.0,2.0,N
262,Fulham,Brentford,2.3,3.59,2.88,3-3,3.0,3.0,6.0,N
263,Manchester Blue,Sunderland,1.18,7.57,12.91,3-1,3.0,1.0,4.0,D
264,Wolverhampton,Burnley,1.72,4.18,4.19,1-4,1.0,4.0,5.0,E
265,Spurs,London Blues,1.93,4.16,3.33,0-2,0.0,2.0,2.0,E
266,Manchester Red,Liverpool,2.48,3.73,2.58,0-4,0.0,4.0,4.0,E
267,Everton,C. Palace,2.46,3.01,3.12,3-0,3.0,0.0,3.0,D
268,Leeds,N. Forest,3.8,3.76,1.88,1-2,1.0,2.0,3.0,E
269,West Ham,London Reds,6.12,4.26,1.51,0-3,0.0,3.0,3.0,E
270,Bournemouth,Fulham,2.52,3.29,2.79,3-0,3.0,0.0,3.0,D
271,Manchester Blue,Liverpool,1.56,4.78,4.74,1-3,1.0,3.0,4.0,E
272,C. Palace,London Blues,2.13,3.65,3.15,0-3,0.0,3.0,3.0,E
273,Wolverhampton,Manchester Red,2.39,3.43,2.85,1-0,1.0,0.0,1.0,D
274,Leeds,Burnley,3.21,3.88,2.04,0-3,0.0,3.0,3.0,E
275,Spurs,Sunderland,1.5,4.97,5.25,2-0,2.0,0.0,2.0,D
276,A. Villa,N. Forest,1.36,5.41,7.27,0-1,0.0,1.0,1.0,E
277,West Ham,Brentford,2.59,3.55,2.55,0-3,0.0,3.0,3.0,E
278,Everton,Newcastle,2.92,3.42,2.35,1-2,1.0,2.0,3.0,E
279,Brighton,London Reds,4.41,3.8,1.75,0-2,0.0,2.0,2.0,E
280,Liverpool,Newcastle,1.45,4.92,5.97,3-0,3.0,0.0,3.0,D
281,Brentford,London Reds,4.51,4.08,1.69,1-4,1.0,4.0,5.0,E
282,Manchester Blue,Brighton,1.36,5.69,6.63,5-1,5.0,1.0,6.0,D
283,Manchester Red,N. Forest,1.5,4.47,5.83,3-2,3.0,2.0,5.0,D
284,London Blues,Burnley,1.33,5.53,7.69,1-1,1.0,1.0,2.0,N
285,Leeds,Everton,4.1,3.27,1.96,3-2,3.0,2.0,5.0,D
286,Bournemouth,A. Villa,2.18,3.34,3.33,2-2,2.0,2.0,4.0,N
287,West Ham,Spurs,2.53,4.04,2.39,4-0,4.0,0.0,4.0,D
288,Fulham,Sunderland,1.73,4.19,4.12,3-2,3.0,2.0,5.0,D
289,Wolverhampton,C. Palace,2.53,3.22,2.8200000000000003,1-0,1.0,0.0,1.0,D
290,London Reds,Brighton,1.44,5.22,5.74,2-2,2.0,2.0,4.0,N
291,C. Palace,Sunderland,1.65,4.14,4.7,2-1,2.0,1.0,3.0,D
292,Manchester Red,Leeds,1.36,4.73,8.71,5-0,5.0,0.0,5.0,D
293,London Blues,Fulham,1.77,3.85,4.24,1-0,1.0,0.0,1.0,D
294,Manchester Blue,Everton,1.21,6.26,13.1,2-1,2.0,1.0,3.0,D
295,Burnley,Bournemouth,2.8,3.62,2.35,2-0,2.0,0.0,2.0,D
296,N. Forest,A. Villa,2.02,3.49,3.5700000000000003,1-1,1.0,1.0,2.0,N
297,Wolverhampton,Brentford,2.64,3.41,2.5700000000000003,1-3,1.0,3.0,4.0,E
